scenario,policy,week,planning_status,fulfillment_status,planning_solve_seconds,fulfillment_solve_seconds,planned_objective,demand_units,fulfilled_units,shortage_units,fill_rate,ordered_units,ending_inventory,procurement_cost,shipping_cost,risk_cost,holding_cost,shortage_cost,service_gap_cost,total_cost,expected_late_units,supplier_risk_units
base,moving_average,2018-06-11,Optimal,Optimal,0.06579399999463931,0.03794162499252707,232803.9497628181,1127.0,1063.0,64.0,0.9432120674356699,825.0,494.0,37609.194,16101.06,1106.210010545713,380.7844,7423.04,0.0,62620.28841054571,81.53883494056976,90.779866204231
base,moving_average,2018-06-18,Optimal,Optimal,0.07199183400371112,0.037815499992575496,257363.686053854,1115.0,1046.0,69.0,0.9381165919282511,1066.0,273.0,50917.62,15711.475,1103.482855122322,185.9522,7871.94,0.0,75790.47005512232,80.45414433209108,91.96994009311867
base,moving_average,2018-06-25,Optimal,Optimal,0.06894462500349618,0.028051957982825115,276349.58486649906,1096.0,1091.0,5.0,0.9954379562043796,1236.0,248.0,58835.43,16641.035,1149.1060460317995,189.89020000000002,579.925,0.0,77395.3862460318,84.81272214920573,94.1208537676307
base,moving_average,2018-07-02,Optimal,Optimal,0.06474529198021628,0.02768799997284077,275073.5224032416,922.0,922.0,0.0,1.0,1211.0,562.0,56335.122,13952.41,971.202101162588,453.1258,0.0,0.0,71711.85990116259,71.13595427856114,80.42289338681972
base,moving_average,2018-07-09,Optimal,Optimal,0.07114845799515024,0.029980375024024397,241870.12551670746,695.0,695.0,0.0,1.0,834.0,1078.0,38526.090000000004,11204.0,746.3150772215729,819.0489,0.0,0.0,51295.45397722158,56.66469833231097,58.599498112617034
base,moving_average,2018-07-16,Optimal,Optimal,0.06395262500154786,0.029080457985401154,208481.30248375842,1202.0,1202.0,0.0,1.0,477.0,710.0,24909.204,18376.81,1269.3968117966085,513.1814,0.0,0.0,45068.59221179661,94.80855315354214,102.18567731365428
base,moving_average,2018-07-23,Optimal,Optimal,0.06577454201760702,0.03546020801877603,254119.09200568378,1207.0,1105.0,102.0,0.9154929577464789,1135.0,82.0,53792.736000000004,17087.2,1166.9763956910228,68.982,9620.9825,0.0,81736.87689569102,86.11533171835227,95.61074838884097
base,moving_average,2018-07-30,Optimal,Optimal,0.06478366599185392,0.02876466599991545,268584.4721338902,1482.0,1173.0,309.0,0.791497975708502,1173.0,44.0,54292.74,17292.97,1225.4658322661558,31.556,30704.9525,26283.350625000003,129831.03495726617,90.52181642225925,100.25826017761635
base,moving_average,2018-08-06,Optimal,Optimal,0.06860820797737688,0.028765917028067634,329849.24790365173,1451.0,1194.0,257.0,0.822880771881461,1475.0,23.0,68445.46800000001,17425.4,1223.329478852744,15.85,26262.1825,18267.744937500003,131639.97491635277,89.17166602781721,101.99123012604124
base,moving_average,2018-08-13,Optimal,Optimal,0.07155716701527126,0.027077625010861084,336700.0464744013,1366.0,1353.0,13.0,0.9904831625183016,1602.0,145.0,72777.342,20078.36,1420.3766138959234,118.1501,1378.055,0.0,95772.28371389591,104.25695785845423,117.26419020565791
