scenario,policy,origin_week,hub,category,ending_inventory
base,last_week,2018-06-11,RJ,sports_leisure,0.0
base,last_week,2018-06-11,RJ,telephony,3.0
base,last_week,2018-06-11,RJ,watches_gifts,0.0
base,last_week,2018-06-11,SC,auto,0.0
base,last_week,2018-06-11,SC,bed_bath_table,0.0
base,last_week,2018-06-11,SC,computers_accessories,0.0
base,last_week,2018-06-11,SC,furniture_decor,0.0
base,last_week,2018-06-11,SC,garden_tools,0.0
base,last_week,2018-06-11,SC,health_beauty,0.0
base,last_week,2018-06-11,SC,housewares,0.0
base,last_week,2018-06-11,SC,sports_leisure,3.0
base,last_week,2018-06-11,SC,telephony,1.0
base,last_week,2018-06-11,SC,watches_gifts,0.0
base,last_week,2018-06-11,RS,auto,0.0
base,last_week,2018-06-11,RS,bed_bath_table,0.0
base,last_week,2018-06-11,RS,computers_accessories,0.0
base,last_week,2018-06-11,RS,furniture_decor,0.0
base,last_week,2018-06-11,RS,garden_tools,0.0
base,last_week,2018-06-11,RS,health_beauty,0.0
base,last_week,2018-06-11,RS,housewares,0.0
base,last_week,2018-06-11,RS,sports_leisure,0.0
base,last_week,2018-06-11,RS,telephony,0.0
base,last_week,2018-06-11,RS,watches_gifts,0.0
base,last_week,2018-06-18,SP,auto,25.0
base,last_week,2018-06-18,SP,bed_bath_table,27.0
base,last_week,2018-06-18,SP,computers_accessories,23.0
base,last_week,2018-06-18,SP,furniture_decor,0.0
base,last_week,2018-06-18,SP,garden_tools,29.0
base,last_week,2018-06-18,SP,health_beauty,5.0
base,last_week,2018-06-18,SP,housewares,85.0
base,last_week,2018-06-18,SP,sports_leisure,0.0
base,last_week,2018-06-18,SP,telephony,0.0
base,last_week,2018-06-18,SP,watches_gifts,0.0
base,last_week,2018-06-18,PR,auto,0.0
base,last_week,2018-06-18,PR,bed_bath_table,0.0
base,last_week,2018-06-18,PR,computers_accessories,0.0
base,last_week,2018-06-18,PR,furniture_decor,10.0
base,last_week,2018-06-18,PR,garden_tools,3.0
base,last_week,2018-06-18,PR,health_beauty,0.0
base,last_week,2018-06-18,PR,housewares,5.0
base,last_week,2018-06-18,PR,sports_leisure,0.0
base,last_week,2018-06-18,PR,telephony,0.0
base,last_week,2018-06-18,PR,watches_gifts,0.0
base,last_week,2018-06-18,MG,auto,0.0
base,last_week,2018-06-18,MG,bed_bath_table,6.0
base,last_week,2018-06-18,MG,computers_accessories,10.0
base,last_week,2018-06-18,MG,furniture_decor,15.0
base,last_week,2018-06-18,MG,garden_tools,14.0
base,last_week,2018-06-18,MG,health_beauty,0.0
base,last_week,2018-06-18,MG,housewares,0.0
base,last_week,2018-06-18,MG,sports_leisure,0.0
base,last_week,2018-06-18,MG,telephony,0.0
base,last_week,2018-06-18,MG,watches_gifts,0.0
base,last_week,2018-06-18,RJ,auto,0.0
base,last_week,2018-06-18,RJ,bed_bath_table,0.0
base,last_week,2018-06-18,RJ,computers_accessories,0.0
base,last_week,2018-06-18,RJ,furniture_decor,0.0
base,last_week,2018-06-18,RJ,garden_tools,5.0
base,last_week,2018-06-18,RJ,health_beauty,0.0
base,last_week,2018-06-18,RJ,housewares,0.0
base,last_week,2018-06-18,RJ,sports_leisure,0.0
base,last_week,2018-06-18,RJ,telephony,1.0
base,last_week,2018-06-18,RJ,watches_gifts,0.0
base,last_week,2018-06-18,SC,auto,0.0
base,last_week,2018-06-18,SC,bed_bath_table,2.0
base,last_week,2018-06-18,SC,computers_accessories,0.0
base,last_week,2018-06-18,SC,furniture_decor,0.0
base,last_week,2018-06-18,SC,garden_tools,5.0
base,last_week,2018-06-18,SC,health_beauty,0.0
base,last_week,2018-06-18,SC,housewares,0.0
base,last_week,2018-06-18,SC,sports_leisure,0.0
base,last_week,2018-06-18,SC,telephony,0.0
base,last_week,2018-06-18,SC,watches_gifts,0.0
base,last_week,2018-06-18,RS,auto,0.0
base,last_week,2018-06-18,RS,bed_bath_table,0.0
base,last_week,2018-06-18,RS,computers_accessories,0.0
base,last_week,2018-06-18,RS,furniture_decor,0.0
base,last_week,2018-06-18,RS,garden_tools,2.0
base,last_week,2018-06-18,RS,health_beauty,0.0
base,last_week,2018-06-18,RS,housewares,11.0
base,last_week,2018-06-18,RS,sports_leisure,0.0
base,last_week,2018-06-18,RS,telephony,0.0
base,last_week,2018-06-18,RS,watches_gifts,0.0
base,last_week,2018-06-25,SP,auto,7.0
base,last_week,2018-06-25,SP,bed_bath_table,74.0
base,last_week,2018-06-25,SP,computers_accessories,0.0
base,last_week,2018-06-25,SP,furniture_decor,0.0
base,last_week,2018-06-25,SP,garden_tools,0.0
base,last_week,2018-06-25,SP,health_beauty,50.0
base,last_week,2018-06-25,SP,housewares,52.0
base,last_week,2018-06-25,SP,sports_leisure,15.0
base,last_week,2018-06-25,SP,telephony,31.0
base,last_week,2018-06-25,SP,watches_gifts,52.0
base,last_week,2018-06-25,PR,auto,1.0
base,last_week,2018-06-25,PR,bed_bath_table,0.0
base,last_week,2018-06-25,PR,computers_accessories,0.0
base,last_week,2018-06-25,PR,furniture_decor,18.0
base,last_week,2018-06-25,PR,garden_tools,3.0
base,last_week,2018-06-25,PR,health_beauty,0.0
base,last_week,2018-06-25,PR,housewares,3.0
base,last_week,2018-06-25,PR,sports_leisure,3.0
base,last_week,2018-06-25,PR,telephony,0.0
base,last_week,2018-06-25,PR,watches_gifts,0.0
base,last_week,2018-06-25,MG,auto,0.0
base,last_week,2018-06-25,MG,bed_bath_table,0.0
base,last_week,2018-06-25,MG,computers_accessories,5.0
base,last_week,2018-06-25,MG,furniture_decor,16.0
base,last_week,2018-06-25,MG,garden_tools,14.0
base,last_week,2018-06-25,MG,health_beauty,0.0
base,last_week,2018-06-25,MG,housewares,0.0
base,last_week,2018-06-25,MG,sports_leisure,9.0
base,last_week,2018-06-25,MG,telephony,4.0
base,last_week,2018-06-25,MG,watches_gifts,0.0
