category,region,weeks,total_demand,mean_weekly_demand,std_weekly_demand,coefficient_of_variation,zero_week_share,maximum_weekly_demand,weekly_trend_slope,demand_share
housewares,Northeast,86,387.0,4.5,3.500420142850082,0.7778711428555738,0.06976744186046512,18.0,0.07222038775413935,0.00542297829407396
housewares,Central-West,86,378.0,4.395348837209302,4.003760202513872,0.9109084058629445,0.12790697674418605,20.0,0.09126845605924808,0.00529686251979317
telephony,Central-West,86,311.0,3.616279069767442,3.068506456591709,0.8485259011797008,0.10465116279069768,17.0,0.05206849379687719,0.004358000644591735
auto,Central-West,86,290.0,3.372093023255814,3.4301312327078404,1.0172113310788766,0.1744186046511628,22.0,0.06315392235482806,0.004063730504603226
garden_tools,Central-West,86,253.0,2.941860465116279,3.2042422290853576,1.0891890581080663,0.18604651162790697,18.0,0.007877730081607621,0.00354525454367109
health_beauty,North,86,211.0,2.453488372093023,2.314440482475629,0.9433264525730053,0.16279069767441862,11.0,0.041671776970611814,0.002956714263694071
computers_accessories,North,86,174.0,2.0232558139534884,1.976192085127036,0.9767386167869259,0.23255813953488372,9.0,0.011208075852634551,0.0024382383027619354
sports_leisure,North,86,166.0,1.930232558139535,1.8393777571547754,0.9529306452729559,0.2558139534883721,7.0,0.025076654559177312,0.0023261353922901223
telephony,North,86,145.0,1.686046511627907,1.6891461672341457,1.0018384164285277,0.3488372093023256,6.0,0.004085098353695928,0.002031865252301613
watches_gifts,North,86,145.0,1.686046511627907,1.4892684971605175,0.8832902810745138,0.2441860465116279,6.0,0.027105052125100233,0.002031865252301613
furniture_decor,North,86,121.0,1.4069767441860466,1.589509039825851,1.1297336977274641,0.37209302325581395,6.0,0.012859097127222977,0.0016955565208861736
auto,North,86,91.0,1.058139534883721,1.191683447533147,1.1262063350313256,0.4069767441860465,5.0,0.017632907212604364,0.0012751706066168743
bed_bath_table,North,86,84.0,0.9767441860465116,1.105885263552359,1.1322158650655105,0.46511627906976744,4.0,-0.00364168121137789,0.0011770805599540378
housewares,North,86,69.0,0.8023255813953488,1.1357274677425708,1.4155443800849434,0.5232558139534884,5.0,0.0077079107505070975,0.0009668876028193882
garden_tools,North,86,68.0,0.7906976744186046,1.1490792126462406,1.4532472395231866,0.5348837209302325,5.0,0.004000188688145666,0.0009528747390104116
