category,region,method,observations,actual_units,MAE,WAPE,bias,wape_rank,is_best_wape
housewares,Central-West,last_week,13,125.0,4.6923076923076925,0.488,-0.6923076923076923,2.0,False
housewares,Central-West,moving_average,13,125.0,5.019230769230769,0.522,-0.7884615384615384,3.0,False
housewares,North,moving_average,13,16.0,1.3076923076923077,1.0625,0.038461538461538464,1.0,True
housewares,North,ridge,13,16.0,1.408261358919766,1.1442123541223097,-0.06045056033781286,2.0,False
housewares,North,last_week,13,16.0,1.6153846153846154,1.3125,0.07692307692307693,3.0,False
housewares,Northeast,ridge,13,80.0,2.9619515152577183,0.4813171212293792,1.1582574269729131,1.0,True
housewares,Northeast,last_week,13,80.0,3.0,0.4875,0.23076923076923078,2.0,False
housewares,Northeast,moving_average,13,80.0,3.673076923076923,0.596875,1.1346153846153846,3.0,False
housewares,South,ridge,13,269.0,6.170133837873858,0.2981849066630489,-1.4717699098321058,1.0,True
housewares,South,moving_average,13,269.0,7.038461538461538,0.34014869888475835,-0.23076923076923078,2.0,False
housewares,South,last_week,13,269.0,7.461538461538462,0.36059479553903345,-0.38461538461538464,3.0,False
housewares,Southeast,ridge,13,1343.0,25.86375030560902,0.2503564809924924,-6.392439400111822,1.0,True
housewares,Southeast,last_week,13,1343.0,26.53846153846154,0.2568875651526433,-1.3076923076923077,2.0,False
housewares,Southeast,moving_average,13,1343.0,28.173076923076923,0.27271034996276994,-4.634615384615385,3.0,False
sports_leisure,Central-West,ridge,13,90.0,2.6497768476899357,0.38274554466632404,0.0745363358446885,1.0,True
sports_leisure,Central-West,moving_average,13,90.0,2.6538461538461537,0.38333333333333336,0.038461538461538464,2.0,False
sports_leisure,Central-West,last_week,13,90.0,3.3846153846153846,0.4888888888888889,0.15384615384615385,3.0,False
sports_leisure,North,ridge,13,32.0,1.5266692393552537,0.6202093784880718,-0.07815396511490781,1.0,True
sports_leisure,North,last_week,13,32.0,1.6923076923076923,0.6875,0.0,2.0,False
sports_leisure,North,moving_average,13,32.0,2.3076923076923075,0.9375,-0.07692307692307693,3.0,False
sports_leisure,Northeast,moving_average,13,114.0,3.6538461538461537,0.4166666666666667,-0.15384615384615385,1.0,True
sports_leisure,Northeast,ridge,13,114.0,3.8748975741796796,0.4418742847748758,0.09698654949023891,2.0,False
sports_leisure,Northeast,last_week,13,114.0,4.076923076923077,0.4649122807017544,0.07692307692307693,3.0,False
sports_leisure,South,moving_average,13,196.0,5.615384615384615,0.37244897959183676,-0.5,1.0,True
sports_leisure,South,ridge,13,196.0,5.759792678510504,0.38202706541141096,-0.11062179107465898,2.0,False
sports_leisure,South,last_week,13,196.0,7.6923076923076925,0.5102040816326531,-0.46153846153846156,3.0,False
sports_leisure,Southeast,ridge,13,969.0,18.727768380513734,0.2512497305951275,0.7169839957662085,1.0,True
sports_leisure,Southeast,last_week,13,969.0,21.307692307692307,0.28586171310629516,-1.4615384615384615,2.0,False
sports_leisure,Southeast,moving_average,13,969.0,23.21153846153846,0.31140350877192985,-1.5961538461538463,3.0,False
telephony,Central-West,ridge,13,63.0,3.2050503425033368,0.6613595944848155,-1.442299572129196,1.0,True
telephony,Central-West,moving_average,13,63.0,3.5961538461538463,0.7420634920634921,-0.4807692307692308,2.0,False
telephony,Central-West,last_week,13,63.0,3.923076923076923,0.8095238095238095,-0.07692307692307693,3.0,False
telephony,North,moving_average,13,14.0,1.2115384615384615,1.125,0.25,1.0,True
telephony,North,last_week,13,14.0,1.2307692307692308,1.1428571428571428,0.15384615384615385,2.0,False
telephony,North,ridge,13,14.0,1.2643248023574938,1.174015887903387,-0.7492100837519509,3.0,False
telephony,Northeast,ridge,13,108.0,4.3401444856890565,0.5224247992033123,-1.345876611459983,1.0,True
telephony,Northeast,last_week,13,108.0,4.615384615384615,0.5555555555555556,0.0,2.0,False
telephony,Northeast,moving_average,13,108.0,4.846153846153846,0.5833333333333334,-0.15384615384615385,3.0,False
telephony,South,moving_average,13,130.0,4.076923076923077,0.4076923076923077,-0.6538461538461539,1.0,True
telephony,South,ridge,13,130.0,4.800088619421751,0.48000886194217507,-0.8099750543087859,2.0,False
telephony,South,last_week,13,130.0,5.384615384615385,0.5384615384615384,0.3076923076923077,3.0,False
telephony,Southeast,ridge,13,428.0,11.521933972363835,0.3499652842073127,3.3904846166175093,1.0,True
telephony,Southeast,last_week,13,428.0,12.23076923076923,0.37149532710280375,-0.07692307692307693,2.0,False
telephony,Southeast,moving_average,13,428.0,13.807692307692308,0.41939252336448596,-0.6153846153846154,3.0,False
watches_gifts,Central-West,moving_average,13,97.0,2.0961538461538463,0.2809278350515464,0.1346153846153846,1.0,True
watches_gifts,Central-West,ridge,13,97.0,2.323529694886406,0.3114008869435389,-0.21391997765586582,2.0,False
watches_gifts,Central-West,last_week,13,97.0,2.6923076923076925,0.36082474226804123,0.07692307692307693,3.0,False
watches_gifts,North,moving_average,13,31.0,1.4807692307692308,0.6209677419354839,0.019230769230769232,1.0,True
watches_gifts,North,last_week,13,31.0,1.6923076923076923,0.7096774193548387,0.0,2.0,False
watches_gifts,North,ridge,13,31.0,1.7476008862866703,0.7328648877976359,-0.45918538844022155,3.0,False
watches_gifts,Northeast,ridge,13,204.0,5.535513572044092,0.3527533158655549,-0.22349617050524478,1.0,True
watches_gifts,Northeast,moving_average,13,204.0,6.75,0.43014705882352944,1.0192307692307692,2.0,False
watches_gifts,Northeast,last_week,13,204.0,6.769230769230769,0.43137254901960786,0.3076923076923077,3.0,False
watches_gifts,South,ridge,13,163.0,3.6522684570091033,0.2912852143626892,0.09971211528630246,1.0,True
watches_gifts,South,last_week,13,163.0,3.769230769230769,0.3006134969325153,-0.23076923076923078,2.0,False
watches_gifts,South,moving_average,13,163.0,4.038461538461538,0.3220858895705521,-0.19230769230769232,3.0,False
watches_gifts,Southeast,ridge,13,969.0,15.61897923502443,0.20954254907669514,3.897600870769302,1.0,True
watches_gifts,Southeast,moving_average,13,969.0,19.5,0.26160990712074306,4.3076923076923075,2.0,False
watches_gifts,Southeast,last_week,13,969.0,19.923076923076923,0.2672858617131063,-0.07692307692307693,3.0,False
