hub,category,region,sample_size,raw_late_dispatch_rate,raw_late_delivery_rate,median_freight,median_approval_to_carrier_days,shipping_cost,late_probability,supplier_risk,expected_risk_cost_per_unit,risk_adjusted_route_cost,evidence_level
SP,housewares,North,47,0.0425531914893617,0.06521739130434782,26.89,1.7205787037037037,26.89,0.07192974836380855,0.09918144447005646,1.0713452092607507,27.961345209260752,high
RJ,computers_accessories,Southeast,76,0.05263157894736842,0.12162162162162163,15.77,1.6293807870370371,15.77,0.10849825337127057,0.04023133991893617,1.0691427265648454,16.839142726564845,high
SP,telephony,Southeast,2328,0.10841283607979185,0.07117750439367311,11.85,2.2586516203703706,11.85,0.0713225052433875,0.09768644047983457,1.0590122443462728,12.909012244346272,high
RJ,auto,Central-West,2,0.0,0.0,15.825,0.6185300925925926,15.825,0.07850860048523593,0.08546279654592497,1.0553827866115122,16.880382786611513,low
RJ,auto,South,16,0.06666666666666667,0.07142857142857142,17.63,1.6071875,17.63,0.07808795137690804,0.08546279654592497,1.052017593744889,18.682017593744888,medium
RS,garden_tools,Central-West,3,0.0,0.0,49.0,1.5989814814814816,49.0,0.07437656888074982,0.09111215216935545,1.0505733118927758,50.05057331189278,low
PR,watches_gifts,North,3,0.0,0.0,27.14,1.1248958333333334,27.14,0.07437656888074982,0.09098214998685805,1.0499233009802889,28.18992330098029,low
SP,sports_leisure,Southeast,3792,0.09110339300026717,0.07846320346320346,13.84,1.6194212962962964,13.84,0.07848467156726574,0.08414146468090333,1.0485846959426426,14.888584695942642,high
SP,housewares,Southeast,3690,0.1010989010989011,0.06870653685674548,14.13,1.7254050925925926,14.13,0.0688226748257489,0.09918144447005646,1.0464886209562736,15.176488620956274,high
SP,bed_bath_table,South,1173,0.06495726495726496,0.08497854077253218,18.09,1.849201388888889,18.09,0.08485525801455708,0.07268043946805962,1.0422442614567546,19.132244261456755,high
SP,sports_leisure,South,699,0.06330935251798561,0.07703488372093023,17.95,1.6857638888888888,17.95,0.07721481274891909,0.08414146468090333,1.0384258253958694,18.98842582539587,high
RJ,auto,North,2,0.0,0.0,64.46,1.392170138888889,64.46,0.07638674641806739,0.08546279654592497,1.038407954074164,65.49840795407415,low
RS,telephony,North,1,0.0,0.0,38.95,4.722372685185185,38.95,0.07850860048523593,0.08193913711579924,1.0377644894608837,39.987764489460886,low
SP,housewares,South,667,0.07250755287009064,0.06676783004552352,17.76,1.9116145833333333,17.76,0.067473068613067,0.09918144447005646,1.0356917712548181,18.79569177125482,high
