scenario,policy,origin_week,target_week,horizon,category,region,planned_shortage
base,last_week,2018-06-04,2018-06-04,1,computers_accessories,South,0.0
base,last_week,2018-06-04,2018-06-11,2,computers_accessories,South,0.0
base,last_week,2018-06-04,2018-06-18,3,computers_accessories,South,0.0
base,last_week,2018-06-04,2018-06-25,4,computers_accessories,South,0.0
base,last_week,2018-06-04,2018-06-04,1,computers_accessories,Southeast,0.0
base,last_week,2018-06-04,2018-06-11,2,computers_accessories,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,computers_accessories,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,computers_accessories,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,furniture_decor,Central-West,0.0
base,last_week,2018-06-04,2018-06-11,2,furniture_decor,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,furniture_decor,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,furniture_decor,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,furniture_decor,North,0.0
base,last_week,2018-06-04,2018-06-11,2,furniture_decor,North,0.0
base,last_week,2018-06-04,2018-06-18,3,furniture_decor,North,0.0
base,last_week,2018-06-04,2018-06-25,4,furniture_decor,North,0.0
base,last_week,2018-06-04,2018-06-04,1,furniture_decor,Northeast,0.0
base,last_week,2018-06-04,2018-06-11,2,furniture_decor,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,furniture_decor,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,furniture_decor,Northeast,0.0
base,last_week,2018-06-04,2018-06-04,1,furniture_decor,South,0.0
base,last_week,2018-06-04,2018-06-11,2,furniture_decor,South,0.0
base,last_week,2018-06-04,2018-06-18,3,furniture_decor,South,0.0
base,last_week,2018-06-04,2018-06-25,4,furniture_decor,South,0.0
base,last_week,2018-06-04,2018-06-04,1,furniture_decor,Southeast,0.0
base,last_week,2018-06-04,2018-06-11,2,furniture_decor,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,furniture_decor,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,furniture_decor,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,garden_tools,Central-West,0.0
base,last_week,2018-06-04,2018-06-11,2,garden_tools,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,garden_tools,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,garden_tools,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,garden_tools,North,0.0
base,last_week,2018-06-04,2018-06-11,2,garden_tools,North,0.0
base,last_week,2018-06-04,2018-06-18,3,garden_tools,North,0.0
base,last_week,2018-06-04,2018-06-25,4,garden_tools,North,0.0
base,last_week,2018-06-04,2018-06-04,1,garden_tools,Northeast,0.0
base,last_week,2018-06-04,2018-06-11,2,garden_tools,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,garden_tools,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,garden_tools,Northeast,0.0
base,last_week,2018-06-04,2018-06-04,1,garden_tools,South,0.0
base,last_week,2018-06-04,2018-06-11,2,garden_tools,South,0.0
base,last_week,2018-06-04,2018-06-18,3,garden_tools,South,0.0
base,last_week,2018-06-04,2018-06-25,4,garden_tools,South,0.0
base,last_week,2018-06-04,2018-06-04,1,garden_tools,Southeast,0.0
base,last_week,2018-06-04,2018-06-11,2,garden_tools,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,garden_tools,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,garden_tools,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,health_beauty,Central-West,0.0
base,last_week,2018-06-04,2018-06-11,2,health_beauty,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,health_beauty,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,health_beauty,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,health_beauty,North,0.0
base,last_week,2018-06-04,2018-06-11,2,health_beauty,North,0.0
base,last_week,2018-06-04,2018-06-18,3,health_beauty,North,0.0
base,last_week,2018-06-04,2018-06-25,4,health_beauty,North,0.0
base,last_week,2018-06-04,2018-06-04,1,health_beauty,Northeast,0.0
base,last_week,2018-06-04,2018-06-11,2,health_beauty,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,health_beauty,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,health_beauty,Northeast,0.0
base,last_week,2018-06-04,2018-06-04,1,health_beauty,South,0.0
base,last_week,2018-06-04,2018-06-11,2,health_beauty,South,0.0
base,last_week,2018-06-04,2018-06-18,3,health_beauty,South,0.0
base,last_week,2018-06-04,2018-06-25,4,health_beauty,South,0.0
base,last_week,2018-06-04,2018-06-04,1,health_beauty,Southeast,0.0
base,last_week,2018-06-04,2018-06-11,2,health_beauty,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,health_beauty,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,health_beauty,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,housewares,Central-West,0.0
base,last_week,2018-06-04,2018-06-11,2,housewares,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,housewares,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,housewares,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,housewares,North,2.0
base,last_week,2018-06-04,2018-06-11,2,housewares,North,0.0
base,last_week,2018-06-04,2018-06-18,3,housewares,North,0.0
base,last_week,2018-06-04,2018-06-25,4,housewares,North,0.0
base,last_week,2018-06-04,2018-06-04,1,housewares,Northeast,2.0
base,last_week,2018-06-04,2018-06-11,2,housewares,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,housewares,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,housewares,Northeast,0.0
base,last_week,2018-06-04,2018-06-04,1,housewares,South,0.0
base,last_week,2018-06-04,2018-06-11,2,housewares,South,0.0
base,last_week,2018-06-04,2018-06-18,3,housewares,South,0.0
base,last_week,2018-06-04,2018-06-25,4,housewares,South,0.0
base,last_week,2018-06-04,2018-06-04,1,housewares,Southeast,51.0
base,last_week,2018-06-04,2018-06-11,2,housewares,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,housewares,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,housewares,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,sports_leisure,Central-West,0.0
base,last_week,2018-06-04,2018-06-11,2,sports_leisure,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,sports_leisure,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,sports_leisure,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,sports_leisure,North,0.0
base,last_week,2018-06-04,2018-06-11,2,sports_leisure,North,0.0
base,last_week,2018-06-04,2018-06-18,3,sports_leisure,North,0.0
base,last_week,2018-06-04,2018-06-25,4,sports_leisure,North,0.0
base,last_week,2018-06-04,2018-06-04,1,sports_leisure,Northeast,0.0
base,last_week,2018-06-04,2018-06-11,2,sports_leisure,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,sports_leisure,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,sports_leisure,Northeast,0.0
base,last_week,2018-06-04,2018-06-04,1,sports_leisure,South,0.0
base,last_week,2018-06-04,2018-06-11,2,sports_leisure,South,0.0
base,last_week,2018-06-04,2018-06-18,3,sports_leisure,South,0.0
base,last_week,2018-06-04,2018-06-25,4,sports_leisure,South,0.0
base,last_week,2018-06-04,2018-06-04,1,sports_leisure,Southeast,0.0
base,last_week,2018-06-04,2018-06-11,2,sports_leisure,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,sports_leisure,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,sports_leisure,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,telephony,Central-West,0.0
base,last_week,2018-06-04,2018-06-11,2,telephony,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,telephony,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,telephony,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,telephony,North,0.0
base,last_week,2018-06-04,2018-06-11,2,telephony,North,0.0
base,last_week,2018-06-04,2018-06-18,3,telephony,North,0.0
base,last_week,2018-06-04,2018-06-25,4,telephony,North,0.0
