scenario,policy,origin_week,target_week,horizon,region,service_gap
base,moving_average,2018-06-04,2018-06-04,1,North,0.0
base,moving_average,2018-06-04,2018-06-11,2,North,0.0
base,moving_average,2018-06-04,2018-06-18,3,North,0.0
base,moving_average,2018-06-04,2018-06-25,4,North,0.0
base,moving_average,2018-06-04,2018-06-04,1,Northeast,0.0
base,moving_average,2018-06-04,2018-06-11,2,Northeast,0.0
base,moving_average,2018-06-04,2018-06-18,3,Northeast,0.0
base,moving_average,2018-06-04,2018-06-25,4,Northeast,0.0
base,moving_average,2018-06-04,2018-06-04,1,South,0.0
base,moving_average,2018-06-04,2018-06-11,2,South,0.0
base,moving_average,2018-06-04,2018-06-18,3,South,0.0
base,moving_average,2018-06-04,2018-06-25,4,South,0.0
base,moving_average,2018-06-04,2018-06-04,1,Southeast,0.0
base,moving_average,2018-06-04,2018-06-11,2,Southeast,0.0
base,moving_average,2018-06-04,2018-06-18,3,Southeast,0.0
base,moving_average,2018-06-04,2018-06-25,4,Southeast,0.0
base,moving_average,2018-06-11,2018-06-11,1,Central-West,0.0
base,moving_average,2018-06-11,2018-06-18,2,Central-West,0.0
base,moving_average,2018-06-11,2018-06-25,3,Central-West,0.0
base,moving_average,2018-06-11,2018-07-02,4,Central-West,0.0
base,moving_average,2018-06-11,2018-06-11,1,North,0.1
base,moving_average,2018-06-11,2018-06-18,2,North,0.0
base,moving_average,2018-06-11,2018-06-25,3,North,0.0
base,moving_average,2018-06-11,2018-07-02,4,North,0.0
base,moving_average,2018-06-11,2018-06-11,1,Northeast,0.1
base,moving_average,2018-06-11,2018-06-18,2,Northeast,0.0
base,moving_average,2018-06-11,2018-06-25,3,Northeast,0.0
base,moving_average,2018-06-11,2018-07-02,4,Northeast,0.0
base,moving_average,2018-06-11,2018-06-11,1,South,0.0
base,moving_average,2018-06-11,2018-06-18,2,South,0.0
base,moving_average,2018-06-11,2018-06-25,3,South,0.0
base,moving_average,2018-06-11,2018-07-02,4,South,0.0
base,moving_average,2018-06-11,2018-06-11,1,Southeast,0.0
base,moving_average,2018-06-11,2018-06-18,2,Southeast,0.0
base,moving_average,2018-06-11,2018-06-25,3,Southeast,0.0
base,moving_average,2018-06-11,2018-07-02,4,Southeast,0.0
base,moving_average,2018-06-18,2018-06-18,1,Central-West,0.0
base,moving_average,2018-06-18,2018-06-25,2,Central-West,0.0
base,moving_average,2018-06-18,2018-07-02,3,Central-West,0.0
base,moving_average,2018-06-18,2018-07-09,4,Central-West,0.0
base,moving_average,2018-06-18,2018-06-18,1,North,0.1
base,moving_average,2018-06-18,2018-06-25,2,North,0.0
base,moving_average,2018-06-18,2018-07-02,3,North,0.0
base,moving_average,2018-06-18,2018-07-09,4,North,0.0
base,moving_average,2018-06-18,2018-06-18,1,Northeast,0.2
base,moving_average,2018-06-18,2018-06-25,2,Northeast,0.0
base,moving_average,2018-06-18,2018-07-02,3,Northeast,0.0
base,moving_average,2018-06-18,2018-07-09,4,Northeast,0.0
base,moving_average,2018-06-18,2018-06-18,1,South,0.0
base,moving_average,2018-06-18,2018-06-25,2,South,0.0
base,moving_average,2018-06-18,2018-07-02,3,South,0.0
base,moving_average,2018-06-18,2018-07-09,4,South,0.0
base,moving_average,2018-06-18,2018-06-18,1,Southeast,0.0
base,moving_average,2018-06-18,2018-06-25,2,Southeast,0.0
base,moving_average,2018-06-18,2018-07-02,3,Southeast,0.0
base,moving_average,2018-06-18,2018-07-09,4,Southeast,0.0
base,moving_average,2018-06-25,2018-06-25,1,Central-West,0.0
base,moving_average,2018-06-25,2018-07-02,2,Central-West,0.0
base,moving_average,2018-06-25,2018-07-09,3,Central-West,0.0
base,moving_average,2018-06-25,2018-07-16,4,Central-West,0.0
base,moving_average,2018-06-25,2018-06-25,1,North,0.0
base,moving_average,2018-06-25,2018-07-02,2,North,0.0
base,moving_average,2018-06-25,2018-07-09,3,North,0.0
base,moving_average,2018-06-25,2018-07-16,4,North,0.0
base,moving_average,2018-06-25,2018-06-25,1,Northeast,0.2
