scenario,policy,origin_week,target_week,horizon,hub,category,quantity
base,last_week,2018-05-28,2018-06-18,4,SC,health_beauty,0.0
base,last_week,2018-05-28,2018-05-28,1,SC,housewares,0.0
base,last_week,2018-05-28,2018-06-04,2,SC,housewares,0.0
base,last_week,2018-05-28,2018-06-11,3,SC,housewares,0.0
base,last_week,2018-05-28,2018-06-18,4,SC,housewares,0.0
base,last_week,2018-05-28,2018-05-28,1,SC,sports_leisure,0.0
base,last_week,2018-05-28,2018-06-04,2,SC,sports_leisure,0.0
base,last_week,2018-05-28,2018-06-11,3,SC,sports_leisure,0.0
base,last_week,2018-05-28,2018-06-18,4,SC,sports_leisure,0.0
base,last_week,2018-05-28,2018-05-28,1,SC,telephony,0.0
base,last_week,2018-05-28,2018-06-04,2,SC,telephony,0.0
base,last_week,2018-05-28,2018-06-11,3,SC,telephony,0.0
base,last_week,2018-05-28,2018-06-18,4,SC,telephony,0.0
base,last_week,2018-05-28,2018-05-28,1,SC,watches_gifts,1.0
base,last_week,2018-05-28,2018-06-04,2,SC,watches_gifts,2.0
base,last_week,2018-05-28,2018-06-11,3,SC,watches_gifts,2.0
base,last_week,2018-05-28,2018-06-18,4,SC,watches_gifts,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,auto,1.0
base,last_week,2018-05-28,2018-06-04,2,SP,auto,42.0
base,last_week,2018-05-28,2018-06-11,3,SP,auto,42.0
base,last_week,2018-05-28,2018-06-18,4,SP,auto,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,bed_bath_table,29.0
base,last_week,2018-05-28,2018-06-04,2,SP,bed_bath_table,126.0
base,last_week,2018-05-28,2018-06-11,3,SP,bed_bath_table,126.0
base,last_week,2018-05-28,2018-06-18,4,SP,bed_bath_table,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,computers_accessories,52.0
base,last_week,2018-05-28,2018-06-04,2,SP,computers_accessories,70.0
base,last_week,2018-05-28,2018-06-11,3,SP,computers_accessories,70.0
base,last_week,2018-05-28,2018-06-18,4,SP,computers_accessories,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,furniture_decor,17.0
base,last_week,2018-05-28,2018-06-04,2,SP,furniture_decor,80.0
base,last_week,2018-05-28,2018-06-11,3,SP,furniture_decor,80.0
base,last_week,2018-05-28,2018-06-18,4,SP,furniture_decor,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,garden_tools,18.0
base,last_week,2018-05-28,2018-06-04,2,SP,garden_tools,52.0
base,last_week,2018-05-28,2018-06-11,3,SP,garden_tools,52.0
base,last_week,2018-05-28,2018-06-18,4,SP,garden_tools,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,health_beauty,33.0
base,last_week,2018-05-28,2018-06-04,2,SP,health_beauty,98.0
base,last_week,2018-05-28,2018-06-11,3,SP,health_beauty,105.0
base,last_week,2018-05-28,2018-06-18,4,SP,health_beauty,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,housewares,41.0
base,last_week,2018-05-28,2018-06-04,2,SP,housewares,83.0
base,last_week,2018-05-28,2018-06-11,3,SP,housewares,83.0
base,last_week,2018-05-28,2018-06-18,4,SP,housewares,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,sports_leisure,0.0
base,last_week,2018-05-28,2018-06-04,2,SP,sports_leisure,34.0
base,last_week,2018-05-28,2018-06-11,3,SP,sports_leisure,55.0
base,last_week,2018-05-28,2018-06-18,4,SP,sports_leisure,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,telephony,0.0
base,last_week,2018-05-28,2018-06-04,2,SP,telephony,38.0
base,last_week,2018-05-28,2018-06-11,3,SP,telephony,43.0
base,last_week,2018-05-28,2018-06-18,4,SP,telephony,0.0
base,last_week,2018-05-28,2018-05-28,1,SP,watches_gifts,39.0
base,last_week,2018-05-28,2018-06-04,2,SP,watches_gifts,84.0
base,last_week,2018-05-28,2018-06-11,3,SP,watches_gifts,84.0
base,last_week,2018-05-28,2018-06-18,4,SP,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,auto,0.0
base,last_week,2018-06-04,2018-06-11,2,MG,auto,0.0
base,last_week,2018-06-04,2018-06-18,3,MG,auto,0.0
base,last_week,2018-06-04,2018-06-25,4,MG,auto,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,bed_bath_table,14.0
base,last_week,2018-06-04,2018-06-11,2,MG,bed_bath_table,14.0
base,last_week,2018-06-04,2018-06-18,3,MG,bed_bath_table,14.0
base,last_week,2018-06-04,2018-06-25,4,MG,bed_bath_table,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-11,2,MG,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-18,3,MG,computers_accessories,7.0
base,last_week,2018-06-04,2018-06-25,4,MG,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,furniture_decor,17.0
base,last_week,2018-06-04,2018-06-11,2,MG,furniture_decor,17.0
base,last_week,2018-06-04,2018-06-18,3,MG,furniture_decor,17.0
base,last_week,2018-06-04,2018-06-25,4,MG,furniture_decor,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,garden_tools,0.0
base,last_week,2018-06-04,2018-06-11,2,MG,garden_tools,0.0
base,last_week,2018-06-04,2018-06-18,3,MG,garden_tools,0.0
base,last_week,2018-06-04,2018-06-25,4,MG,garden_tools,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,health_beauty,14.0
base,last_week,2018-06-04,2018-06-11,2,MG,health_beauty,14.0
base,last_week,2018-06-04,2018-06-18,3,MG,health_beauty,14.0
base,last_week,2018-06-04,2018-06-25,4,MG,health_beauty,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,housewares,0.0
base,last_week,2018-06-04,2018-06-11,2,MG,housewares,0.0
base,last_week,2018-06-04,2018-06-18,3,MG,housewares,0.0
base,last_week,2018-06-04,2018-06-25,4,MG,housewares,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,sports_leisure,8.0
base,last_week,2018-06-04,2018-06-11,2,MG,sports_leisure,8.0
base,last_week,2018-06-04,2018-06-18,3,MG,sports_leisure,8.0
base,last_week,2018-06-04,2018-06-25,4,MG,sports_leisure,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,telephony,5.0
base,last_week,2018-06-04,2018-06-11,2,MG,telephony,5.0
base,last_week,2018-06-04,2018-06-18,3,MG,telephony,5.0
base,last_week,2018-06-04,2018-06-25,4,MG,telephony,0.0
base,last_week,2018-06-04,2018-06-04,1,MG,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-11,2,MG,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-18,3,MG,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-25,4,MG,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-04,1,PR,auto,5.0
base,last_week,2018-06-04,2018-06-11,2,PR,auto,7.0
base,last_week,2018-06-04,2018-06-18,3,PR,auto,7.0
base,last_week,2018-06-04,2018-06-25,4,PR,auto,0.0
base,last_week,2018-06-04,2018-06-04,1,PR,bed_bath_table,0.0
base,last_week,2018-06-04,2018-06-11,2,PR,bed_bath_table,0.0
base,last_week,2018-06-04,2018-06-18,3,PR,bed_bath_table,0.0
base,last_week,2018-06-04,2018-06-25,4,PR,bed_bath_table,0.0
base,last_week,2018-06-04,2018-06-04,1,PR,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-11,2,PR,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-18,3,PR,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-25,4,PR,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-04,1,PR,furniture_decor,11.0
base,last_week,2018-06-04,2018-06-11,2,PR,furniture_decor,11.0
base,last_week,2018-06-04,2018-06-18,3,PR,furniture_decor,11.0
base,last_week,2018-06-04,2018-06-25,4,PR,furniture_decor,0.0
base,last_week,2018-06-04,2018-06-04,1,PR,garden_tools,0.0
base,last_week,2018-06-04,2018-06-11,2,PR,garden_tools,0.0
base,last_week,2018-06-04,2018-06-18,3,PR,garden_tools,0.0
base,last_week,2018-06-04,2018-06-25,4,PR,garden_tools,0.0
base,last_week,2018-06-04,2018-06-04,1,PR,health_beauty,8.0
base,last_week,2018-06-04,2018-06-11,2,PR,health_beauty,8.0
base,last_week,2018-06-04,2018-06-18,3,PR,health_beauty,8.0
base,last_week,2018-06-04,2018-06-25,4,PR,health_beauty,0.0
