scenario,policy,origin_week,hub,used_capacity_kg,available_capacity_kg,capacity_utilization
base,last_week,2018-08-06,SP,815.596,2165.512725,0.3766295116090809
base,last_week,2018-08-13,MG,46.6,450.2017800000001,0.10350914205625751
base,last_week,2018-08-13,PR,43.353,260.85037500000004,0.1661987259937809
base,last_week,2018-08-13,RJ,49.34,79.95442500000001,0.617101555042138
base,last_week,2018-08-13,RS,29.53,60.487019999999994,0.4882039154846776
base,last_week,2018-08-13,SC,37.259,224.56116,0.16591916429359377
base,last_week,2018-08-13,SP,915.341,2165.512725,0.4226901968447218
base,last_week,2018-08-20,MG,8.85,450.2017800000001,0.01965785208579139
base,last_week,2018-08-20,PR,28.643000000000004,260.85037500000004,0.10980624428851214
base,last_week,2018-08-20,RJ,17.89,79.95442500000001,0.22375246898467469
base,last_week,2018-08-20,RS,14.3,60.487019999999994,0.23641435798953234
base,last_week,2018-08-20,SC,17.7,224.56116,0.07882039797086905
base,last_week,2018-08-20,SP,497.718,2165.512725,0.22983840928480345
base,moving_average,2018-05-28,MG,35.625,450.2017800000001,0.0791311842436518
base,moving_average,2018-05-28,PR,32.429,260.85037500000004,0.12432031197961665
base,moving_average,2018-05-28,RJ,23.47,79.95442500000001,0.29354222733763635
base,moving_average,2018-05-28,RS,9.985000000000001,60.487019999999994,0.16507673877800563
base,moving_average,2018-05-28,SC,30.5,224.56116,0.13582045978031107
base,moving_average,2018-05-28,SP,545.176,2165.512725,0.25175377346258726
base,moving_average,2018-06-04,MG,36.9,450.2017800000001,0.08196324767974038
base,moving_average,2018-06-04,PR,54.353,260.85037500000004,0.20836849477406347
base,moving_average,2018-06-04,RJ,43.24,79.95442500000001,0.5408080916096888
base,moving_average,2018-06-04,RS,36.17,60.487019999999994,0.5979795334602367
base,moving_average,2018-06-04,SC,33.396,224.56116,0.14871672376469733
base,moving_average,2018-06-04,SP,696.407,2165.512725,0.3215898904496163
base,moving_average,2018-06-11,MG,42.050000000000004,450.2017800000001,0.09340256273531392
base,moving_average,2018-06-11,PR,50.558,260.85037500000004,0.19381992454486596
