hub,category,region,shipping_cost,late_probability
RJ,furniture_decor,South,17.215,0.057679788111601904
RJ,furniture_decor,Southeast,14.809999999999999,0.0438755419769863
RJ,garden_tools,Central-West,16.11,0.08075170335624267
RJ,garden_tools,North,69.02,0.07850860048523593
RJ,garden_tools,Northeast,25.63,0.07437656888074982
RJ,garden_tools,South,19.19,0.07246947737098701
RJ,garden_tools,Southeast,15.105,0.12609013739240704
RJ,health_beauty,Central-West,18.94,0.11350716475635834
RJ,health_beauty,North,36.42,0.06712823890295602
RJ,health_beauty,Northeast,34.78,0.1158305438864726
RJ,health_beauty,South,18.799999999999997,0.12465950781446498
RJ,health_beauty,Southeast,15.795,0.07600298400189728
RJ,housewares,Central-West,16.74,0.06280688038818874
RJ,housewares,North,42.52,0.07850860048523593
RJ,housewares,Northeast,17.98,0.07437656888074982
RJ,housewares,South,18.725,0.08321223478393955
RJ,housewares,Southeast,15.26,0.05252556790247311
RJ,sports_leisure,Central-West,16.61,0.1176949934046292
RJ,sports_leisure,North,28.67,0.10069235835443403
RJ,sports_leisure,Northeast,25.6,0.13173596443982824
RJ,sports_leisure,South,19.32,0.11838927249962039
RJ,sports_leisure,Southeast,15.46,0.0611243818748977
RJ,telephony,Central-West,25.15,0.07638674641806739
RJ,telephony,North,16.11,0.08075170335624267
RJ,telephony,Northeast,19.94,0.09332462481630471
RJ,telephony,South,18.23,0.10341377344509442
RJ,telephony,Southeast,18.23,0.07425091719182297
RJ,watches_gifts,Central-West,17.34,0.06894728024954991
RJ,watches_gifts,North,27.9,0.05435210802824026
RJ,watches_gifts,Northeast,23.63,0.16385379849147513
RJ,watches_gifts,South,16.86,0.10373955804796924
RJ,watches_gifts,Southeast,15.115,0.07640920005168193
SC,auto,Central-West,73.76,0.09332462481630471
SC,auto,North,84.44,0.09811050301201266
SC,auto,Northeast,104.595,0.09281364648977872
SC,auto,South,21.52,0.08751678996754479
SC,auto,Southeast,41.43,0.15157159456575342
SC,bed_bath_table,Central-West,41.33,0.07652619234936987
SC,bed_bath_table,North,38.14,0.07850860048523593
SC,bed_bath_table,Northeast,53.3,0.08937610402719433
SC,bed_bath_table,South,18.05,0.05586271909790185
SC,bed_bath_table,Southeast,22.83,0.05308444097085696
SC,computers_accessories,Central-West,25.63,0.10968885494246576
SC,computers_accessories,North,36.82,0.08075170335624267
SC,computers_accessories,Northeast,42.38,0.06572813063880217
SC,computers_accessories,South,15.1,0.03768412823291325
SC,computers_accessories,Southeast,16.79,0.07005007632911502
SC,furniture_decor,Central-West,26.57,0.07246947737098701
SC,furniture_decor,North,56.38,0.07065774043671233
SC,furniture_decor,Northeast,34.15,0.08696158221519303
SC,furniture_decor,South,16.52,0.08937610402719433
SC,furniture_decor,Southeast,18.06,0.04975576925225251
SC,garden_tools,Central-West,1.2,0.06073507329315069
SC,garden_tools,North,31.69,0.07850860048523593
SC,garden_tools,Northeast,40.65,0.07652619234936987
SC,garden_tools,South,17.369999999999997,0.06073507329315069
SC,garden_tools,Southeast,21.185000000000002,0.05245988714639667
SC,health_beauty,Central-West,37.43,0.0877510839539726
SC,health_beauty,North,73.14,0.09110260993972603
SC,health_beauty,Northeast,46.65,0.0818018579231948
SC,health_beauty,South,15.48,0.0508032591312473
SC,health_beauty,Southeast,18.5,0.05609486848429271
SC,housewares,Central-West,36.51,0.047105160291141555
SC,housewares,North,45.1,0.07246947737098701
SC,housewares,Northeast,54.129999999999995,0.1176949934046292
SC,housewares,South,20.0,0.06415007883170896
SC,housewares,Southeast,22.5,0.04010738619374895
SC,sports_leisure,Central-West,25.77,0.08568102378630138
SC,sports_leisure,North,41.065,0.08898394459229055
SC,sports_leisure,Northeast,30.865,0.13532887021835616
SC,sports_leisure,South,15.2,0.04063279534207437
SC,sports_leisure,Southeast,17.6,0.06872421570845275
SC,telephony,Central-West,30.1,0.07246947737098701
SC,telephony,North,87.34,0.07638674641806739
SC,telephony,Northeast,42.97,0.1664953565236218
SC,telephony,South,15.305,0.06280688038818874
SC,telephony,Southeast,16.79,0.10038690613924255
SC,watches_gifts,Central-West,26.700000000000003,0.06572813063880217
SC,watches_gifts,North,38.28,0.07065774043671233
SC,watches_gifts,Northeast,39.055,0.0642343094879203
SC,watches_gifts,South,15.379999999999999,0.036441043975890416
SC,watches_gifts,Southeast,17.72,0.04413154808734246
RS,auto,Central-West,37.965,0.06572813063880217
RS,auto,North,16.11,0.08075170335624267
RS,auto,Northeast,29.585,0.09811050301201266
RS,auto,South,15.105,0.08141084292486156
RS,auto,Southeast,17.92,0.04969233269439602
RS,bed_bath_table,Central-West,23.215,0.07638674641806739
RS,bed_bath_table,North,16.11,0.08075170335624267
RS,bed_bath_table,Northeast,29.8,0.07850860048523593
RS,bed_bath_table,South,16.215,0.05435210802824026
RS,bed_bath_table,Southeast,31.68,0.10502014796105374
RS,computers_accessories,Central-West,22.43,0.05652619234936987
RS,computers_accessories,North,44.03,0.06280688038818874
RS,computers_accessories,Northeast,40.585,0.14469360028636874
RS,computers_accessories,South,15.120000000000001,0.06258795934693308
RS,computers_accessories,Southeast,18.235,0.056805783974975065
RS,furniture_decor,Central-West,20.74,0.12700814782811826
RS,furniture_decor,North,26.3,0.07850860048523593
RS,furniture_decor,Northeast,41.195,0.07638674641806739
RS,furniture_decor,South,16.015,0.07502567877389203
RS,furniture_decor,Southeast,20.939999999999998,0.06109252680339865
RS,garden_tools,Central-West,49.0,0.07437656888074982
RS,garden_tools,North,16.11,0.08075170335624267
RS,garden_tools,Northeast,49.135,0.10341377344509442
RS,garden_tools,South,17.85,0.10968885494246576
RS,garden_tools,Southeast,21.72,0.04416108777294521
RS,health_beauty,Central-West,30.83,0.06572813063880217
RS,health_beauty,North,41.29,0.07065774043671233
RS,health_beauty,Northeast,31.82,0.12065774043671233
RS,health_beauty,South,14.55,0.09101746156624659
RS,health_beauty,Southeast,17.75,0.04587645368085428
RS,housewares,Central-West,44.61,0.07437656888074982
RS,housewares,North,44.61,0.07850860048523593
RS,housewares,Northeast,34.97,0.13384920818565674
RS,housewares,South,16.825,0.08097531759145406
RS,housewares,Southeast,23.26,0.03012842218479129
RS,sports_leisure,Central-West,23.465,0.0689343809138657
RS,sports_leisure,North,31.81,0.07850860048523593
RS,sports_leisure,Northeast,30.22,0.11491213374924984
RS,sports_leisure,South,15.995000000000001,0.06703207802039574
RS,sports_leisure,Southeast,19.93,0.058263096174684934
RS,telephony,Central-West,22.659999999999997,0.07638674641806739
RS,telephony,North,38.95,0.07850860048523593
RS,telephony,Northeast,40.94,0.10069235835443403
RS,telephony,South,12.004999999999999,0.07638674641806739
RS,telephony,Southeast,19.27,0.0689343809138657
RS,watches_gifts,Central-West,23.56,0.07437656888074982
RS,watches_gifts,North,34.36,0.07850860048523593
RS,watches_gifts,Northeast,34.36,0.07850860048523593
RS,watches_gifts,South,16.009999999999998,0.07246947737098701
RS,watches_gifts,Southeast,17.91,0.055417835636637124
